name,team,primary_position,line,appearances,player_id,pca_x,pca_y,umap_x,umap_y
Josip Juranović,Croatia,Right Back,DEF,6,29163,0.8158396536882621,0.18717490187596192,-6.1918287,2.4251714
Joško Gvardiol,Croatia,Left Center Back,DEF,7,33018,0.442671367553534,2.7925397546061586,-8.681764,-3.008743
Benjamin Pavard,France,Right Back,DEF,7,5476,0.14872695575284198,0.28971089789788607,-5.9237423,2.522991
Lucas Hernandez,France,Left Back,DEF,8,5484,-0.20660820542908967,-2.2693581661819233,-4.0721483,-0.8536593
Gabriel Jesus,Brazil,Center Forward,FWD,6,3202,0.02702136425005524,-5.704509066859703,-10.422978,3.7635872
Thomas Meunier,Belgium,Right Back,DEF,7,3176,0.753883389908922,-0.956512659336607,-6.36583,2.685802
Hiroki Sakai,Japan,Right Back,DEF,5,3530,-0.4201585199602368,-1.8427488914765038,-6.23461,2.7851293
Luis Suárez,Uruguay,Right Center Forward,FWD,7,5246,0.7267964581535916,-3.2233500947648803,-9.739019,3.7731292
Martín Cáceres,Uruguay,Right Back,DEF,6,5248,-0.05748862747904818,-0.4790251055613558,-5.8114214,2.609632
Andrés Guardado,Mexico,Left Center Midfield,MID,5,5563,1.302886848888916,-0.1731696975276043,-8.351547,0.82638514
Celso Borges,Costa Rica,Right Defensive Midfield,MID,6,5582,0.35284981362779766,0.3487172203005057,-8.13222,0.33813265
Keylor Navas,Costa Rica,Goalkeeper,GK,6,5597,-5.750821976848945,0.15831348477318266,9.858054,7.4699
Óscar Duarte,Costa Rica,Right Center Back,DEF,5,5598,-0.7705433676392541,-0.47688255387921263,-7.1166363,-1.0240576
Bryan Oviedo,Costa Rica,Left Wing Back,DEF,5,5836,0.2153789738117099,-1.1304026556733053,-4.273422,-1.0163779
Raphaël Guerreiro,Portugal,Left Back,DEF,7,5209,1.4494385638160723,0.8459159577815003,-4.3776197,-2.0896606
Nicolás Tagliafico,Argentina,Left Back,DEF,7,5507,-0.3856537583649228,-0.12868735682824303,-3.9804575,-1.3957671
Roman Zobnin,Russia,Left Center Midfield,MID,5,5171,0.865995584740709,-1.4985532838757503,-8.52529,1.210436
Igor Akinfeev,Russia,Goalkeeper,GK,5,5172,-5.086077771732759,-3.1710383616436273,9.943369,7.192719
Sergei Ignashevich,Russia,Left Center Back,DEF,5,5174,-2.724357681818138,0.7698730081541257,-7.0759535,-1.2975068
Ilya Kutepov,Russia,Right Center Back,DEF,5,5175,-1.7062525024932649,0.06599869957159492,-7.274109,-0.96597046
Aleksandr Samedov,Russia,Right Wing,FWD,5,5182,1.047672850947016,-2.0366779969552824,-9.13423,2.4143538
Danijel Subašić,Croatia,Goalkeeper,GK,6,3444,-5.187153316117856,0.9779119570563782,9.810924,7.799677
Ivan Strinić,Croatia,Left Back,DEF,6,5457,0.3527083885576351,-0.08606025679819307,-4.2633243,-1.2100137
Šime Vrsaljko,Croatia,Right Back,DEF,6,5461,1.1971828723165798,0.6103940920255305,-6.024659,2.4773853
Ante Rebić,Croatia,Right Wing,FWD,6,5465,2.2306801785659904,-4.5974315320738395,-10.079216,3.53109
