match_id,team,competition,date,coach,cluster,umap_x,umap_y,landmark
70304,Barcelona,LaLiga,2012-10-20 00:00:00,Vilanova,1,8.6223135,1.289304,
70276,Barcelona,LaLiga,2012-10-27 00:00:00,Vilanova,1,10.422165,4.3763876,
70308,Barcelona,LaLiga,2012-11-03 00:00:00,Vilanova,1,11.044897,2.4271433,
266724,Barcelona,LaLiga,2012-11-11 00:00:00,Vilanova,1,8.633023,1.4939514,
70309,Barcelona,LaLiga,2012-11-17 00:00:00,Vilanova,1,12.522575,2.2752678,
70280,Barcelona,LaLiga,2012-11-25 00:00:00,Vilanova,0,7.7532983,5.8421245,
70263,Barcelona,LaLiga,2012-12-01 00:00:00,Vilanova,1,11.192049,4.1032,
70295,Barcelona,LaLiga,2012-12-09 00:00:00,Vilanova,0,7.661202,6.3218713,
70296,Barcelona,LaLiga,2012-12-16 00:00:00,Vilanova,1,9.066613,2.1569016,
266015,Barcelona,LaLiga,2012-12-22 00:00:00,Vilanova,1,11.312365,1.1823604,
266433,Barcelona,LaLiga,2013-01-06 00:00:00,Vilanova,1,10.910986,0.26874623,
266827,Barcelona,LaLiga,2013-01-13 00:00:00,Vilanova,1,11.1130905,0.8092081,
70287,Barcelona,LaLiga,2013-01-19 00:00:00,Vilanova,1,11.656276,1.6179382,
70260,Barcelona,LaLiga,2013-01-27 00:00:00,Vilanova,1,8.609773,3.390791,
70282,Barcelona,LaLiga,2013-02-03 00:00:00,Vilanova,1,11.593179,1.5106064,
70297,Barcelona,LaLiga,2013-02-10 00:00:00,Vilanova,1,10.163433,1.3338001,
70294,Barcelona,LaLiga,2013-02-16 00:00:00,Vilanova,1,9.378731,1.90317,
70271,Barcelona,LaLiga,2013-02-23 00:00:00,Vilanova,1,9.464085,2.2485478,
70272,Barcelona,LaLiga,2013-03-02 00:00:00,Vilanova,1,10.42696,0.20276833,
70305,Barcelona,LaLiga,2013-03-09 00:00:00,Vilanova,1,10.665081,0.18117163,
70307,Barcelona,LaLiga,2013-03-17 00:00:00,Vilanova,0,8.08326,5.6460943,
70256,Barcelona,LaLiga,2013-03-30 00:00:00,Vilanova,1,9.251673,2.2201016,
267502,Barcelona,LaLiga,2013-04-27 00:00:00,Vilanova,1,9.88549,3.5530305,
70281,Barcelona,LaLiga,2013-05-05 00:00:00,Vilanova,1,10.069117,2.6043928,
70284,Barcelona,LaLiga,2013-05-12 00:00:00,Vilanova,1,10.987159,4.2255087,
70277,Barcelona,LaLiga,2013-08-18 00:00:00,Martino,1,11.035351,2.8649688,
70298,Barcelona,LaLiga,2013-09-01 00:00:00,Martino,1,12.209824,2.0901322,
70301,Barcelona,LaLiga,2013-09-14 00:00:00,Martino,0,7.342449,6.2100363,
70302,Barcelona,LaLiga,2013-09-21 00:00:00,Martino,0,8.955483,6.1821346,
267520,Barcelona,LaLiga,2013-09-24 00:00:00,Martino,0,8.852977,6.595067,
266420,Barcelona,LaLiga,2013-09-28 00:00:00,Martino,0,7.775954,5.5339966,
266462,Barcelona,LaLiga,2013-10-19 00:00:00,Martino,0,6.1564636,6.0138006,
70293,Barcelona,LaLiga,2013-10-26 00:00:00,Martino,1,10.432389,2.867759,
267192,Barcelona,LaLiga,2013-10-29 00:00:00,Martino,0,9.013281,5.9798155,
70283,Barcelona,LaLiga,2013-11-01 00:00:00,Martino,1,11.636453,2.1925607,
266883,Barcelona,LaLiga,2013-11-10 00:00:00,Martino,0,8.668306,6.2924643,
265830,Barcelona,LaLiga,2014-01-11 00:00:00,Martino,1,11.245331,3.0723069,
70288,Barcelona,LaLiga,2014-01-19 00:00:00,Martino,1,9.467149,1.2094015,
70291,Barcelona,LaLiga,2014-01-26 00:00:00,Martino,0,9.014479,4.7347364,
266613,Barcelona,LaLiga,2014-02-01 00:00:00,Martino,1,10.494609,0.33594579,
267675,Barcelona,LaLiga,2014-02-09 00:00:00,Martino,1,9.9946995,1.6776698,
265918,Barcelona,LaLiga,2014-02-15 00:00:00,Martino,1,8.863069,4.1893907,
265837,Barcelona,LaLiga,2014-02-22 00:00:00,Martino,1,11.773087,3.0577374,
266066,Barcelona,LaLiga,2014-03-02 00:00:00,Martino,1,9.390149,0.9880319,
266603,Barcelona,LaLiga,2014-03-08 00:00:00,Martino,1,11.399945,2.820214,
266074,Barcelona,LaLiga,2014-03-16 00:00:00,Martino,1,12.038787,2.889646,
265857,Barcelona,LaLiga,2014-03-23 00:00:00,Martino,1,9.6942,1.0591805,
266274,Barcelona,LaLiga,2014-03-26 00:00:00,Martino,1,9.030396,4.8210964,
70306,Barcelona,LaLiga,2014-03-29 00:00:00,Martino,1,10.165937,3.11005,
267368,Barcelona,LaLiga,2014-04-05 00:00:00,Martino,1,11.91322,2.4875293,
267138,Barcelona,LaLiga,2014-04-12 00:00:00,Martino,1,12.685521,3.4396605,
267567,Barcelona,LaLiga,2014-04-20 00:00:00,Martino,1,10.589092,3.1336524,
70289,Barcelona,LaLiga,2014-04-27 00:00:00,Martino,0,6.6647124,5.5310674,
266491,Barcelona,LaLiga,2014-05-03 00:00:00,Martino,1,10.844504,2.600781,
266201,Barcelona,LaLiga,2014-05-11 00:00:00,Martino,1,9.032954,2.085252,
266256,Barcelona,LaLiga,2014-05-17 00:00:00,Martino,0,6.308739,5.950357,
266921,Barcelona,LaLiga,2014-08-24 00:00:00,L.Enrique,1,9.451509,1.1876506,
266406,Barcelona,LaLiga,2014-08-31 00:00:00,L.Enrique,1,10.568942,0.7745465,
70273,Barcelona,LaLiga,2014-09-13 00:00:00,L.Enrique,1,11.649297,3.6674986,
266770,Barcelona,LaLiga,2014-09-21 00:00:00,L.Enrique,1,11.145985,1.902816,
266838,Barcelona,LaLiga,2014-09-24 00:00:00,L.Enrique,1,12.222217,2.632869,
266117,Barcelona,LaLiga,2014-09-27 00:00:00,L.Enrique,1,9.879989,3.6594584,
267561,Barcelona,LaLiga,2014-10-04 00:00:00,L.Enrique,1,11.082351,4.6917086,
265896,Barcelona,LaLiga,2014-10-18 00:00:00,L.Enrique,1,12.06708,2.7605639,
267085,Barcelona,LaLiga,2014-10-25 00:00:00,L.Enrique,1,11.670986,3.239261,
267301,Barcelona,LaLiga,2014-11-01 00:00:00,L.Enrique,1,11.826551,3.862775,
267499,Barcelona,LaLiga,2014-11-08 00:00:00,L.Enrique,0,8.120609,2.1186254,
265835,Barcelona,LaLiga,2014-11-22 00:00:00,L.Enrique,1,12.187184,2.9187045,
266560,Barcelona,LaLiga,2014-11-30 00:00:00,L.Enrique,1,11.619266,1.9775434,
266320,Barcelona,LaLiga,2014-12-07 00:00:00,L.Enrique,1,11.91737,1.4476799,
70264,Barcelona,LaLiga,2014-12-13 00:00:00,L.Enrique,1,11.83122,1.3463413,
266846,Barcelona,LaLiga,2014-12-20 00:00:00,L.Enrique,1,12.352442,1.7534937,
266240,Barcelona,LaLiga,2015-01-04 00:00:00,L.Enrique,1,9.780417,3.7426505,
70303,Barcelona,LaLiga,2015-01-11 00:00:00,L.Enrique,1,12.139367,3.4342084,
266230,Barcelona,LaLiga,2015-01-18 00:00:00,L.Enrique,1,11.355774,3.2282708,
